2020 - 2030 Employment Projections for Dallas
SOC,"SOC Title","Employment","Projected","Absolute Change","Percent Change","Average Annual Openings"
    "49-2011","Computer, Automated Teller, and Office Machine Repairers",2008,2156,148,7.3705,236
    "49-2092","Electric Motor, Power Tool, and Related Repairers",71,84,13,18.3099,8
    "49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment",667,732,65,9.7451,60
    "49-2095","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",104,112,8,7.6923,9
    "49-2097","Audiovisual Equipment Installers and Repairers",258,274,16,6.2016,30
    "49-2098","Security and Fire Alarm Systems Installers",1832,2228,396,21.6157,244
    "49-3011","Aircraft Mechanics and Service Technicians",2122,2365,243,11.4515,205
    "49-3021","Automotive Body and Related Repairers",1599,1644,45,2.8143,151
    "49-3023","Automotive Service Technicians and Mechanics",6450,6621,171,2.6512,654
    "49-3031","Bus and Truck Mechanics and Diesel Engine Specialists",3627,3936,309,8.5194,374
    "49-3042","Mobile Heavy Equipment Mechanics, Except Engines",1994,2384,390,19.5587,252
    "49-3043","Rail Car Repairers",220,298,78,35.4545,34
    "49-3053","Outdoor Power Equipment and Other Small Engine Mechanics",243,273,30,12.3457,31
    "49-9012","Control and Valve Installers and Repairers, Except Mechanical Door",476,546,70,14.7059,48
    "49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3094,3607,513,16.5805,366
    "49-9041","Industrial Machinery Mechanics",3380,4029,649,19.2012,379
    "49-9043","Maintenance Workers, Machinery",597,703,106,17.7554,69
    "49-9044","Millwrights",250,291,41,16.4000,27
    "49-9051","Electrical Power-Line Installers and Repairers",772,870,98,12.6943,80
    "49-9052","Telecommunications Line Installers and Repairers",4663,5236,573,12.2882,585
    "49-9062","Medical Equipment Repairers",895,987,92,10.2793,106
    "49-9071","Maintenance and Repair Workers, General",16048,18487,2439,15.1982,1859
    "49-9091","Coin, Vending, and Amusement Machine Servicers and Repairers",161,203,42,26.0870,25
    "49-9098","Helpers--Installation, Maintenance, and Repair Workers",1018,1171,153,15.0295,154
    "49-9099","Installation, Maintenance, and Repair Workers, All Other",1617,1875,258,15.9555,205
    "51-1011","First-Line Supervisors of Production and Operating Workers",5607,6077,470,8.3824,616
    "51-2028","Electrical, etc., Assemblers, Except Coil Winders, Tapers, and Finishers",4476,5138,662,14.7900,567
    "51-2041","Structural Metal Fabricators and Fitters",843,813,-30,-3.5587,81
    "51-2090","Miscellaneous Assemblers and Fabricators",10676,11741,1065,9.9756,1334
    "51-3011","Bakers",1954,2359,405,20.7267,321
    "51-3021","Butchers and Meat Cutters",1608,1732,124,7.7114,204
    "51-3023","Slaughterers and Meat Packers",287,294,7,2.4390,35
    "51-3091","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",571,621,50,8.7566,72
    "51-3092","Food Batchmakers",1488,1773,285,19.1532,226
    "51-3099","Food Processing Workers, All Other",532,612,80,15.0376,65
    "51-4041","Machinists",2593,2688,95,3.6637,278
    "51-4071","Foundry Mold and Coremakers",136,124,-12,-8.8235,12
    "51-4081","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1271,1342,71,5.5862,137
    "51-4111","Tool and Die Makers",378,366,-12,-3.1746,36
    "51-4121","Welders, Cutters, Solderers, and Brazers",3311,3724,413,12.4736,411
    "51-4122","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",258,256,-2,-0.7752,27
    "51-4191","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",129,122,-7,-5.4264,11
    "51-4193","Plating Machine Setters, Operators, and Tenders, Metal and Plastic",705,588,-117,-16.5957,53
    "51-5111","Prepress Technicians and Workers",287,230,-57,-19.8606,29
    "51-5112","Printing Press Operators",2690,2429,-261,-9.7026,247
    "51-5113","Print Binding and Finishing Workers",1013,946,-67,-6.6140,102
    "51-6011","Laundry and Dry-Cleaning Workers",1290,1839,549,42.5581,261
    "51-6021","Pressers, Textile, Garment, and Related Materials",457,586,129,28.2276,67
    "51-6031","Sewing Machine Operators",1823,1949,126,6.9117,226
    "51-6062","Textile Cutting Machine Setters, Operators, and Tenders",136,139,3,2.2059,16
    "51-6093","Upholsterers",458,480,22,4.8035,42
    "51-6099","Textile, Apparel, and Furnishings Workers, All Other",183,197,14,7.6503,23
    "51-7011","Cabinetmakers and Bench Carpenters",1124,1163,39,3.4698,110
    "51-7041","Sawing Machine Setters, Operators, and Tenders, Wood",619,762,143,23.1018,90
    "51-7042","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",636,680,44,6.9182,72
    "51-8013","Power Plant Operators",173,172,-1,-0.5780,16
    "51-8021","Stationary Engineers and Boiler Operators",83,96,13,15.6627,11
    "51-8031","Water and Wastewater Treatment Plant and System Operators",490,508,18,3.6735,47
    "51-9011","Chemical Equipment Operators and Tenders",1295,1222,-73,-5.6371,119
    "51-9021","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",228,187,-41,-17.9825,19
    "51-9023","Mixing and Blending Machine Setters, Operators, and Tenders",897,969,72,8.0268,109
    "51-9031","Cutters and Trimmers, Hand",79,70,-9,-11.3924,8
    "51-9032","Cutting and Slicing Machine Setters, Operators, and Tenders",545,545,0,0.0000,65
    "51-9061","Inspectors, Testers, Sorters, Samplers, and Weighers",6373,5972,-401,-6.2922,687
    "51-9081","Dental Laboratory Technicians",336,413,77,22.9167,56
    "51-9083","Ophthalmic Laboratory Technicians",896,1113,217,24.2188,149
    "51-9111","Packaging and Filling Machine Operators and Tenders",5265,5795,530,10.0665,648
    "51-9124","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",1197,1294,97,8.1036,133
    "51-9161","Computer Numerically Controlled Tool Operators",1275,1245,-30,-2.3529,133
    "51-9162","Computer Numerically Controlled Tool Programmers",339,424,85,25.0737,49
    "51-9191","Adhesive Bonding Machine Operators and Tenders",146,122,-24,-16.4384,15
    "51-9192","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",436,476,40,9.1743,54
    "51-9193","Cooling and Freezing Equipment Operators and Tenders",100,96,-4,-4.0000,10
    "51-9196","Paper Goods Machine Setters, Operators, and Tenders",1004,1005,1,0.0996,112
    "51-9197","Tire Builders",112,93,-19,-16.9643,8
    "51-9198","Helpers--Production Workers",3792,3803,11,0.2901,537
    "51-9199","Production Workers, All Other",1861,2246,385,20.6878,260
    "53-1041","Aircraft Cargo Handling Supervisors",188,216,28,14.8936,24
    "53-2011","Airline Pilots, Copilots, and Flight Engineers",2160,2587,427,19.7685,297
    "53-2012","Commercial Pilots",932,1098,166,17.8112,125
    "53-2031","Flight Attendants",3048,4178,1130,37.0735,555
    "53-3031","Driver/Sales Workers",5912,7248,1336,22.5981,850
    "53-3032","Heavy and Tractor-Trailer Truck Drivers",33988,37987,3999,11.7659,4314
    "53-3033","Light Truck Drivers",12334,14734,2400,19.4584,1712
    "53-3051","Bus Drivers, School",3796,5001,1205,31.7439,629
    "53-3052","Bus Drivers, Transit and Intercity",1871,2091,220,11.7584,250
    "53-6021","Parking Attendants",1585,2189,604,38.1073,347
    "53-6031","Automotive and Watercraft Service Attendants",655,715,60,9.1603,99
    "53-6041","Traffic Technicians",95,106,11,11.5789,15
    "53-6051","Transportation Inspectors",839,904,65,7.7473,98
    "53-7011","Conveyor Operators and Tenders",342,395,53,15.4971,48
    "53-7021","Crane and Tower Operators",568,641,73,12.8521,69
    "53-7051","Industrial Truck and Tractor Operators",15631,18033,2402,15.3669,2038
    "53-7061","Cleaners of Vehicles and Equipment",4594,4960,366,7.9669,696
    "53-7062","Laborers and Freight, Stock, and Material Movers, Hand",39325,46362,7037,17.8945,6307
    "53-7063","Machine Feeders and Offbearers",617,673,56,9.0762,90
    "53-7064","Packers and Packagers, Hand",6428,7254,826,12.8500,1027
    "53-7065","Stockers and Order Fillers",26875,31408,4533,16.8670,4954


